기간,구분,아황산가스(ppm),일산화탄소(ppm),이산화질소(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm)
2019,국가환경기준,0.02ppm/년,9ppm/8시간,0.03ppm/년,50㎍/㎥/년,15㎍/㎥/년,0.06ppm/8시간
2019,서울시기준,0.01ppm/년,9ppm/8시간,0.03ppm/년,50㎍/㎥/년,15㎍/㎥/년,0.06ppm/8시간
2019,평 균,0.004,0.5,0.028,42,25,0.025
2019,종로구,0.004,0.6,0.03,38,23,0.023
2019,중구,0.003,0.6,0.032,38,23,0.027
2019,용산구,0.003,0.5,0.032,34,24,0.023
2019,성동구,0.005,0.6,0.024,42,24,0.03
2019,광진구,0.004,0.8,0.022,41,23,0.027
2019,동대문구,0.004,0.5,0.027,48,28,0.025
2019,중랑구,0.004,0.5,0.032,45,26,0.027
2019,성북구,0.004,0.7,0.027,43,26,0.022
2019,강북구,0.005,0.5,0.029,39,25,0.027
2019,도봉구,0.006,0.5,0.024,38,24,0.025
2019,노원구,0.003,0.7,0.032,44,22,0.023
2019,은평구,0.003,0.5,0.021,45,25,0.028
2019,서대문구,0.004,0.5,0.019,38,22,0.029
2019,마포구,0.004,0.5,0.026,40,26,0.022
2019,양천구,0.004,0.5,0.032,48,26,0.024
2019,강서구,0.005,0.5,0.03,47,26,0.027
2019,구로구,0.005,0.4,0.025,42,24,0.028
2019,금천구,0.004,0.5,0.031,39,25,0.022
2019,영등포구,0.003,0.5,0.031,45,29,0.022
2019,동작구,0.003,0.5,0.03,44,27,0.024
2019,관악구,0.004,0.5,0.031,49,28,0.026
2019,서초구,0.004,0.4,0.03,44,26,0.027
2019,강남구,0.005,0.5,0.028,40,25,0.022
2019,송파구,0.003,0.5,0.033,40,23,0.023
2019,강동구,0.004,0.5,0.03,42,26,0.022
