"","지역","최근.매매.월","최근.매매.연도","평당가격"
"1","강남구",5,2020,2980.12328767123
"2","강동구",5,2020,3330.71428571429
"3","강북구",5,2020,3557.36051502146
"4","강서구",5,2020,3390.62643678161
"5","관악구",5,2020,3209.82644628099
"6","광진구",5,2020,3714.47169811321
"7","구로구",5,2020,3231.92258064516
"8","금천구",5,2020,3230.43870967742
"9","노원구",5,2020,3384.72690763052
"10","도봉구",5,2020,3492.00414937759
"11","동대문구",5,2020,3508.82857142857
"12","동작구",5,2020,3209.98496240602
"13","마포구",5,2020,3301.84924623116
"14","서대문구",5,2020,3196.87323943662
"15","서초구",5,2020,3109.82178217822
"16","성동구",5,2020,3532.48863636364
"17","성북구",5,2020,3538.14767932489
"18","송파구",5,2020,3481.84210526316
"19","양천구",5,2020,3425.32989690722
"20","용산구",5,2020,3507.78518518519
"21","은평구",5,2020,3322.57894736842
"22","종로구",5,2020,3495.75704225352
"23","중구",5,2020,3462
"24","중랑구",5,2020,3581.1375
"25","강남구",6,2020,3820.5641025641
"26","강동구",6,2020,3628.79646017699
"27","강북구",6,2020,3923.6404494382
"28","강서구",6,2020,3835.96470588235
"29","관악구",6,2020,3697.95154185022
"30","광진구",6,2020,3742.95167286245
"31","구로구",6,2020,3796.7306122449
"32","금천구",6,2020,3835.79446640316
"33","노원구",6,2020,3655.5037593985
"34","도봉구",6,2020,3818.38345864662
"35","동대문구",6,2020,3765.29166666667
"36","동작구",6,2020,3888.24894514768
"37","마포구",6,2020,3832.1102661597
"38","서대문구",6,2020,3819.59615384615
"39","서초구",6,2020,3859.53947368421
"40","성동구",6,2020,3748.27941176471
"41","성북구",6,2020,4020.108
"42","송파구",6,2020,3695.30131004367
"43","양천구",6,2020,3721.65079365079
"44","용산구",6,2020,3723.35018050542
"45","은평구",6,2020,3750.44747081712
"46","종로구",6,2020,3642.99315068493
"47","중구",6,2020,3836.6350877193
"48","중랑구",6,2020,3934.3670411985
"49","강남구",7,2020,3652.0511627907
"50","강동구",7,2020,3646.35265700483
"51","강북구",7,2020,3686.63265306122
"52","강서구",7,2020,3616.02521008403
"53","관악구",7,2020,3868.09756097561
"54","광진구",7,2020,3758.30268199234
"55","구로구",7,2020,3716.13617021277
"56","금천구",7,2020,3475.73362445415
"57","노원구",7,2020,3582.484
"58","도봉구",7,2020,3644.46774193548
"59","동대문구",7,2020,3973.66265060241
"60","동작구",7,2020,3686.46226415094
"61","마포구",7,2020,3607.228
"62","서대문구",7,2020,3723.11583011583
"63","서초구",7,2020,3713.4854368932
"64","성동구",7,2020,3872.52452830189
"65","성북구",7,2020,3854.02
"66","송파구",7,2020,3540.90047393365
"67","양천구",7,2020,3548.09578544061
"68","용산구",7,2020,3706.88030888031
"69","은평구",7,2020,3654.60536398467
"70","종로구",7,2020,3895.23344947735
"71","중구",7,2020,3916.64575645756
"72","중랑구",7,2020,3886.12741312741
"73","강남구",8,2020,3976.87096774194
"74","강동구",8,2020,3431.76315789474
"75","강북구",8,2020,3768.25777777778
"76","강서구",8,2020,4036.75141242938
"77","관악구",8,2020,3615.27027027027
"78","광진구",8,2020,3841.12790697674
"79","구로구",8,2020,3959.24418604651
"80","금천구",8,2020,4058.60402684564
"81","노원구",8,2020,3937.68911917098
"82","도봉구",8,2020,3937.03791469194
"83","동대문구",8,2020,3760.10465116279
"84","동작구",8,2020,3909.8
"85","마포구",8,2020,3796.67980295566
"86","서대문구",8,2020,3864.58536585366
"87","서초구",8,2020,3908.46153846154
"88","성동구",8,2020,4026.26254826255
"89","성북구",8,2020,3713.81893004115
"90","송파구",8,2020,3882.46153846154
"91","양천구",8,2020,3931.03846153846
"92","용산구",8,2020,4073.26459143969
"93","은평구",8,2020,4164.75757575758
"94","종로구",8,2020,3925.47653429603
"95","중구",8,2020,3962.85185185185
"96","중랑구",8,2020,3687.29317269076
"97","강남구",9,2020,3145.60869565217
"98","강동구",9,2020,3150
"99","강북구",9,2020,4043.18139534884
"100","강서구",9,2020,4044.31578947368
"101","관악구",9,2020,3067.45833333333
"102","광진구",9,2020,3731.77459016393
"103","구로구",9,2020,3549.33333333333
"104","금천구",9,2020,3688.28070175439
"105","노원구",9,2020,4010.43915343915
"106","도봉구",9,2020,3790.5396039604
"107","동대문구",9,2020,4006.72532188841
"108","동작구",9,2020,3084.51851851852
"109","마포구",9,2020,4092.12727272727
"110","서대문구",9,2020,3811.59649122807
"111","서초구",9,2020,2981.68181818182
"112","성동구",9,2020,3927.06589147287
"113","성북구",9,2020,3845.29223744292
"114","송파구",9,2020,3152.83333333333
"115","양천구",9,2020,4325.71794871795
"116","용산구",9,2020,4168.08646616541
"117","은평구",9,2020,3990.03243243243
"118","종로구",9,2020,3855.93140794224
"119","중구",9,2020,4095.86142322097
"120","중랑구",9,2020,3814.57322175732
"121","강남구",10,2020,3143.20833333333
"122","강동구",10,2020,3236.95833333333
"123","강북구",10,2020,3906.27753303965
"124","강서구",10,2020,4033.65714285714
"125","관악구",10,2020,3058.15384615385
"126","광진구",10,2020,3756.44776119403
"127","구로구",10,2020,4046.66292134831
"128","금천구",10,2020,4058.60493827161
"129","노원구",10,2020,3979.07407407407
"130","도봉구",10,2020,3890.44871794872
"131","동대문구",10,2020,3772.64338235294
"132","동작구",10,2020,3595.43396226415
"133","마포구",10,2020,3967.80434782609
"134","서대문구",10,2020,3722.05418719212
"135","서초구",10,2020,3108.60869565217
"136","성동구",10,2020,3833.30545454545
"137","성북구",10,2020,3869.95299145299
"138","송파구",10,2020,3231.875
"139","양천구",10,2020,3637.17557251908
"140","용산구",10,2020,3827.29770992366
"141","은평구",10,2020,3806.24630541872
"142","종로구",10,2020,3890.61338289963
"143","중구",10,2020,3941.87265917603
"144","중랑구",10,2020,4047.63829787234
"145","강남구",11,2020,3780.04716981132
"146","강동구",11,2020,4173.65476190476
"147","강북구",11,2020,3654.5387755102
"148","강서구",11,2020,4303.15706806283
"149","관악구",11,2020,4567.76296296296
"150","광진구",11,2020,4265.03831417624
"151","구로구",11,2020,4228.65789473684
"152","금천구",11,2020,4192.61325966851
"153","노원구",11,2020,3963.65094339623
"154","도봉구",11,2020,3794.59825327511
"155","동대문구",11,2020,4135.71984435798
"156","동작구",11,2020,4651.24516129032
"157","마포구",11,2020,4134.07009345794
"158","서대문구",11,2020,4170.06018518519
"159","서초구",11,2020,4116.30833333333
"160","성동구",11,2020,4482.94715447154
"161","성북구",11,2020,3784.72532188841
"162","송파구",11,2020,3770.08988764045
"163","양천구",11,2020,4389.13106796117
"164","용산구",11,2020,4184.98850574713
"165","은평구",11,2020,4189.27272727273
"166","종로구",11,2020,4096.79790940767
"167","중구",11,2020,4290.41155234657
"168","중랑구",11,2020,4017.05813953488
"169","강남구",12,2020,4887.33783783784
"170","강동구",12,2020,4555.53658536585
"171","강북구",12,2020,4392.29824561404
"172","강서구",12,2020,4240.54222222222
"173","관악구",12,2020,4521.73796791444
"174","광진구",12,2020,4430.16216216216
"175","구로구",12,2020,4035.59447004608
"176","금천구",12,2020,4144.39726027397
"177","노원구",12,2020,4137.42731277533
"178","도봉구",12,2020,4395.15254237288
"179","동대문구",12,2020,4554.09803921569
"180","동작구",12,2020,4731.76923076923
"181","마포구",12,2020,4171.65811965812
"182","서대문구",12,2020,4210.98666666667
"183","서초구",12,2020,4598.49704142012
"184","성동구",12,2020,4438.69294605809
"185","성북구",12,2020,4313.13362068965
"186","송파구",12,2020,4681.93288590604
"187","양천구",12,2020,4162.78318584071
"188","용산구",12,2020,4342.384
"189","은평구",12,2020,4042.39380530973
"190","종로구",12,2020,4263.55516014235
"191","중구",12,2020,4382.65818181818
"192","중랑구",12,2020,4295.73170731707
"193","강남구",1,2021,3664.45299145299
"194","강동구",1,2021,3883.96470588235
"195","강북구",1,2021,4018.06060606061
"196","강서구",1,2021,5137.92352941176
"197","관악구",1,2021,3811.09230769231
"198","광진구",1,2021,4589.74031007752
"199","구로구",1,2021,4877.56213017751
"200","금천구",1,2021,4324.19285714286
"201","노원구",1,2021,4118.18367346939
"202","도봉구",1,2021,4065.77272727273
"203","동대문구",1,2021,4319.32931726908
"204","동작구",1,2021,4057.76
"205","마포구",1,2021,4529.08947368421
"206","서대문구",1,2021,4467.8743718593
"207","서초구",1,2021,3835.27049180328
"208","성동구",1,2021,4488.16603773585
"209","성북구",1,2021,4283.08898305085
"210","송파구",1,2021,3807.15306122449
"211","양천구",1,2021,4911.085
"212","용산구",1,2021,4418.59328358209
"213","은평구",1,2021,4446.69346733668
"214","종로구",1,2021,4361.76363636364
"215","중구",1,2021,4228.44705882353
"216","중랑구",1,2021,4278.828
"217","강남구",2,2021,3728.53846153846
"218","강동구",2,2021,3698.75
"219","강북구",2,2021,4058.66666666667
"220","강서구",2,2021,3735.5393258427
"221","관악구",2,2021,3930.87096774194
"222","광진구",2,2021,3950.34126984127
"223","구로구",2,2021,3619.87301587302
"224","금천구",2,2021,4845.375
"225","노원구",2,2021,4480.35838150289
"226","도봉구",2,2021,4221.43269230769
"227","동대문구",2,2021,4161.16981132075
"228","동작구",2,2021,4326.6875
"229","마포구",2,2021,3844.9837398374
"230","서대문구",2,2021,4241.4962406015
"231","서초구",2,2021,3715.04
"232","성동구",2,2021,4438.05394190871
"233","성북구",2,2021,4073.44843049327
"234","송파구",2,2021,3286.11111111111
"235","양천구",2,2021,3838.36956521739
"236","용산구",2,2021,4362.29411764706
"237","은평구",2,2021,4656.95945945946
"238","종로구",2,2021,4406.44981412639
"239","중구",2,2021,4450.77178423237
"240","중랑구",2,2021,4135.67611336032
"241","강남구",3,2021,3644.33333333333
"242","강동구",3,2021,4005.83333333333
"243","강북구",3,2021,4223.94545454545
"244","강서구",3,2021,3893.35897435897
"245","관악구",3,2021,3487.6
"246","광진구",3,2021,3967.99596774194
"247","구로구",3,2021,4208.38961038961
"248","금천구",3,2021,4212.85185185185
"249","노원구",3,2021,3931.06741573034
"250","도봉구",3,2021,4293.66028708134
"251","동대문구",3,2021,3918.47177419355
"252","동작구",3,2021,3035.63636363636
"253","마포구",3,2021,3760.57142857143
"254","서대문구",3,2021,3971.88321167883
"255","서초구",3,2021,2675.34782608696
"256","성동구",3,2021,4222.01127819549
"257","성북구",3,2021,4091.84162895928
"258","송파구",3,2021,3474.83333333333
"259","양천구",3,2021,4042.12345679012
"260","용산구",3,2021,4440.5873015873
"261","은평구",3,2021,4114.12578616352
"262","종로구",3,2021,4406.03370786517
"263","중구",3,2021,4347.4743083004
"264","중랑구",3,2021,3858.85829959514
"265","강남구",4,2021,4179.11111111111
"266","강동구",4,2021,4294.16666666667
"267","강북구",4,2021,4273.13664596273
"268","강서구",4,2021,4147.7625
"269","관악구",4,2021,4904.85714285714
"270","광진구",4,2021,4230.64112903226
"271","구로구",4,2021,4343.18055555556
"272","금천구",4,2021,4665.02380952381
"273","노원구",4,2021,5270.06666666667
"274","도봉구",4,2021,4670.47058823529
"275","동대문구",4,2021,4230.48132780083
"276","동작구",4,2021,4912
"277","마포구",4,2021,4259.90740740741
"278","서대문구",4,2021,4608.61417322835
"279","서초구",4,2021,3576.75
"280","성동구",4,2021,4142.00387596899
"281","성북구",4,2021,4088.86567164179
"282","송파구",4,2021,3581.33333333333
"283","양천구",4,2021,4013.30588235294
"284","용산구",4,2021,4302.80727272727
"285","은평구",4,2021,5285.32773109244
"286","종로구",4,2021,4190.57564575646
"287","중구",4,2021,4337.12260536398
"288","중랑구",4,2021,4164.71681415929
"289","강남구",5,2021,3118.45454545455
"290","강동구",5,2021,3708.72727272727
"291","강북구",5,2021,4238.30319148936
"292","강서구",5,2021,4332.02352941176
"293","관악구",5,2021,3696.20833333333
"294","광진구",5,2021,4066.45849802372
"295","구로구",5,2021,4180.44444444444
"296","금천구",5,2021,3975.8085106383
"297","노원구",5,2021,4325.78947368421
"298","도봉구",5,2021,4151.40106951872
"299","동대문구",5,2021,4171.0737704918
"300","동작구",5,2021,3636.37037037037
"301","마포구",5,2021,4553.8152173913
"302","서대문구",5,2021,4435.66666666667
"303","서초구",5,2021,3694.57894736842
"304","성동구",5,2021,4172.26104417671
"305","성북구",5,2021,4369.46634615385
"306","송파구",5,2021,3902.33333333333
"307","양천구",5,2021,4651.36842105263
"308","용산구",5,2021,4263.71541501976
"309","은평구",5,2021,4538.92125984252
"310","종로구",5,2021,4057.11870503597
"311","중구",5,2021,4233.79365079365
"312","중랑구",5,2021,4163.61777777778
