"","지역","건축.연도","평당가격"
"1","구로구",1961,1250
"2","노원구",1961,1312
"3","마포구",1961,1382
"4","서초구",1961,1227
"5","성북구",1961,1133.5
"6","양천구",1961,1000
"7","용산구",1961,1471
"8","동대문구",1965,3571
"9","중랑구",1965,4286
"10","광진구",1966,4166.5
"11","동대문구",1966,4444
"12","성북구",1966,4394.5
"13","중구",1966,4667
"14","강북구",1967,812
"15","은평구",1967,966
"16","성동구",1968,1733.5
"17","용산구",1968,1645
"18","종로구",1968,1721.6
"19","중구",1968,1777
"20","강북구",1969,2318
"21","광진구",1969,1187.4
"22","동대문구",1969,1611
"23","서대문구",1969,3053.5
"24","성동구",1969,2124
"25","용산구",1969,2029.5
"26","은평구",1969,1675
"27","종로구",1969,2745.21428571429
"28","중구",1969,2092
"29","중랑구",1969,2528
"30","강북구",1970,2262
"31","노원구",1970,5833
"32","도봉구",1970,2446.5
"33","동대문구",1970,2802.5
"34","성북구",1970,2320.5
"35","용산구",1970,3491.66666666667
"36","종로구",1970,2435.05555555556
"37","중구",1970,2122.33333333333
"38","강동구",1971,1312
"39","강북구",1971,4854.2
"40","광진구",1971,5549.05263157895
"41","구로구",1971,1362
"42","금천구",1971,968
"43","노원구",1971,4310.25
"44","도봉구",1971,6670.58333333333
"45","동대문구",1971,5656.41176470588
"46","마포구",1971,6069.5
"47","서대문구",1971,5698.16666666667
"48","성동구",1971,4925.81481481481
"49","성북구",1971,5942.2
"50","양천구",1971,7847
"51","용산구",1971,5992.31578947368
"52","은평구",1971,7053.5
"53","종로구",1971,1871.9375
"54","중구",1971,2718.92857142857
"55","중랑구",1971,5591.57142857143
"56","강남구",1972,1053
"57","강북구",1972,1956.71428571429
"58","관악구",1972,1538
"59","광진구",1972,2244.71428571429
"60","노원구",1972,1550
"61","동대문구",1972,2943.375
"62","마포구",1972,1389
"63","서초구",1972,1003
"64","성동구",1972,1125
"65","성북구",1972,2691.33333333333
"66","송파구",1972,1012
"67","양천구",1972,1753
"68","용산구",1972,2728
"69","종로구",1972,2635
"70","중구",1972,2311.33333333333
"71","중랑구",1972,2680.66666666667
"72","강남구",1973,10781
"73","강동구",1973,10806.2
"74","강북구",1973,10110.4
"75","강서구",1973,11190.5
"76","관악구",1973,10788.5
"77","광진구",1973,1608.5
"78","구로구",1973,12187.5
"79","금천구",1973,11094
"80","노원구",1973,10576.1111111111
"81","도봉구",1973,9716.42857142857
"82","마포구",1973,9405
"83","서대문구",1973,12212
"84","서초구",1973,10869
"85","성동구",1973,2359.33333333333
"86","성북구",1973,5922
"87","송파구",1973,10959.5
"88","양천구",1973,12775
"89","용산구",1973,1493.5
"90","은평구",1973,10434.6666666667
"91","종로구",1973,2794
"92","중구",1973,1268
"93","중랑구",1973,3974
"94","강남구",1974,10341
"95","강동구",1974,10636.3333333333
"96","강북구",1974,5986.6
"97","강서구",1974,7226.2
"98","관악구",1974,10523
"99","광진구",1974,4758.64285714286
"100","구로구",1974,7951
"101","금천구",1974,9239.5
"102","노원구",1974,7401.38888888889
"103","도봉구",1974,7207.54545454545
"104","동대문구",1974,3407.11111111111
"105","동작구",1974,10101.9
"106","마포구",1974,8892.71428571429
"107","서대문구",1974,10284.1111111111
"108","서초구",1974,9327.25
"109","성동구",1974,4339.22222222222
"110","성북구",1974,4138.5
"111","양천구",1974,10182
"112","용산구",1974,4268.2
"113","은평구",1974,8834.82352941176
"114","종로구",1974,4890.8
"115","중구",1974,3311
"116","중랑구",1974,4419.11111111111
"117","강북구",1975,3109.125
"118","강서구",1975,1158
"119","관악구",1975,992
"120","광진구",1975,4883.8947368421
"121","구로구",1975,1279
"122","금천구",1975,3417
"123","노원구",1975,2600.625
"124","도봉구",1975,3984
"125","동대문구",1975,3964.39130434783
"126","마포구",1975,3609.33333333333
"127","서대문구",1975,3528.25
"128","서초구",1975,2179
"129","성동구",1975,4868.38888888889
"130","성북구",1975,2940.44444444444
"131","양천구",1975,2234.5
"132","용산구",1975,5215.84615384615
"133","은평구",1975,2415
"134","종로구",1975,4038.28571428571
"135","중구",1975,5520
"136","중랑구",1975,3301.70588235294
"137","강북구",1976,7933
"138","강서구",1976,2120
"139","관악구",1976,6118
"140","광진구",1976,6242.53333333333
"141","구로구",1976,6909.6
"142","금천구",1976,3965
"143","노원구",1976,5402.66666666667
"144","도봉구",1976,6836.09090909091
"145","동대문구",1976,5362.8
"146","동작구",1976,7893.6
"147","마포구",1976,2926
"148","서대문구",1976,3308.92857142857
"149","서초구",1976,1987
"150","성동구",1976,5479.35294117647
"151","성북구",1976,5251.22222222222
"152","송파구",1976,6951.2
"153","양천구",1976,4876.1
"154","용산구",1976,4318.3
