기간,자치구,합계,한국은행,우리은행,SC제일은행,KB국민은행,신한은행,한국씨티은행,KEB하나은행,지방은행,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
2020,합계,"1,987",2,370,92,356,358,22,270,43,194,165,59,19,2,35
2020,종로구,115,-,19,5,19,17,5,15,1,7,14,1,1,-,11
2020,중구,176,1,29,5,23,38,-,16,6,16,14,6,1,-,21
2020,용산구,67,-,13,3,11,12,1,10,-,8,8,1,-,-,-
2020,성동구,53,-,7,4,10,10,-,7,1,7,5,1,1,-,-
2020,광진구,50,-,10,4,12,8,-,10,1,4,1,-,-,-,-
2020,동대문구,49,-,11,4,8,4,-,8,1,6,5,2,-,-,-
2020,중랑구,30,-,8,1,6,5,-,4,-,2,2,2,-,-,-
2020,성북구,51,-,9,3,10,9,-,9,-,5,5,1,-,-,-
2020,강북구,25,-,4,1,6,4,-,3,-,2,3,2,-,-,-
2020,도봉구,25,-,5,1,5,5,-,3,-,1,4,1,-,-,-
2020,노원구,53,-,9,1,12,8,1,7,1,6,6,1,1,-,-
2020,은평구,37,-,8,2,8,6,-,4,-,3,4,2,-,-,-
2020,서대문구,48,-,11,2,8,9,-,7,-,6,5,-,-,-,-
2020,마포구,89,-,16,4,15,17,1,14,3,9,5,4,1,-,-
2020,양천구,59,-,8,5,13,10,1,10,-,5,5,1,1,-,-
2020,강서구,68,-,14,2,12,15,-,5,3,7,6,3,1,-,-
2020,구로구,63,-,11,3,13,9,-,9,2,14,2,-,-,-,-
2020,금천구,49,-,9,1,8,6,-,4,-,13,4,2,2,-,-
2020,영등포구,132,-,21,5,25,21,2,16,7,14,11,5,2,1,2
2020,동작구,45,-,10,2,7,11,-,6,-,3,4,2,-,-,-
2020,관악구,41,-,10,1,10,9,-,4,-,4,2,1,-,-,-
2020,서초구,175,-,34,8,27,36,2,28,7,15,10,4,3,1,-
2020,강남구,297,1,55,13,53,57,8,41,6,25,24,9,4,-,1
2020,송파구,133,-,25,9,23,23,1,23,3,7,12,6,1,-,-
2020,강동구,57,-,14,3,12,9,-,7,1,5,4,2,-,-,-
