"","aptnm","경도","위도","number_of_bus_station","bus_dis","number_of_health_ins","health_dis","number_of_library","library_dis","number_of_park","park_dis","number_of_subway","subway_dis"
"1","신반포청구",127.008452668417,37.5141394987212,34,2.55311031225167e-06,108,3.62697513365016e-06,1,3.06019236452293e-05,0,0.000696288769638267,2,9.50790693164887e-06
"2","은빛1단지",127.053755380663,37.6810986070578,65,3.04836464625612e-06,59,1.75403717398831e-07,3,2.82588981295409e-06,0,0.000105860782947759,2,1.23191182997563e-05
"3","금호베스트빌1",126.991973730982,37.5228580868465,32,1.37911353071774e-06,22,5.97462853403828e-05,4,1.28420451067315e-05,1,7.50272067608729e-05,1,2.36235786965202e-05
"4","신현대12차",127.024109041617,37.5289291939725,17,1.28504822563895e-05,439,4.71665921729834e-06,2,4.71665921729834e-06,0,0.00013735506011475,1,2.31833795157206e-05
"5","관악푸르지오",126.960864947013,37.4873112715491,77,3.01382557784719e-06,127,8.17563116396248e-10,7,2.55473836666794e-06,1,1.77350043501999e-05,0,0.000107312379309519
"6","벽산",127.072881636874,37.6614531070852,77,6.75215235439291e-07,90,1.21195568924558e-06,7,1.46854225784666e-05,0,0.000506224534837146,1,3.61494452403062e-07
"7","삼풍아파트",127.015613076104,37.4985439919823,67,8.03404358764306e-06,253,4.79408279805205e-06,1,2.50345251503356e-05,0,0.000829362312811939,3,3.04820969671359e-05
"8","인우",126.868866148247,37.534659314458,53,1.14890329934929e-06,178,2.69360055873816e-07,5,2.36093301526685e-05,1,5.67554721555985e-05,1,9.57178393148501e-05
"9","상계불암대림",127.077155698333,37.6632119870925,44,1.23432292790001e-06,76,9.31369399145498e-07,3,2.04542481701993e-05,0,0.000328390166770225,2,2.1539043439124e-05
"10","상계주공3(고층)",127.060626929817,37.6523851714328,93,2.722518908327e-07,249,5.09450102809168e-08,5,7.83928914920235e-05,0,0.000117842781707853,3,8.53150051799263e-06
"11","마곡13단지힐스테이트마스터",126.818287770104,37.5577909438278,80,1.30199349192851e-06,78,4.18175881628205e-06,2,6.58210377640944e-05,0,0.000506965362926417,2,4.93283657642716e-05
"12","수서",127.090283572636,37.4926342499883,37,7.16020154469366e-06,42,5.6071252228652e-06,1,5.69548347228248e-06,1,2.46774291209487e-05,0,0.000113280563545469
"13","Air Palace(619-7)",126.807521756752,37.5627038613922,64,1.94860024852017e-06,52,1.70881686696524e-06,3,1.67440774148538e-05,0,0.000349716887804696,4,2.06248194296318e-05
"14","우정에쉐르",127.010672609588,37.6000207685188,115,2.51404547350389e-07,145,6.0462202783468e-06,4,1.01329006594454e-05,1,3.46242563982944e-05,1,8.47905692525651e-05
"15","두산",127.068705662251,37.6126556534515,84,7.98171736049629e-06,108,1.85683991368782e-07,2,1.10047332755378e-05,0,0.000268446665058414,5,1.53052554371079e-05
"16","마곡엠밸리8단지",126.819605455478,37.5639536123299,83,3.99498644271806e-06,79,8.65186956787277e-06,1,4.73554058615077e-05,0,0.000277792441309203,2,4.13927413465334e-05
"17","은빛1단지",127.053755380663,37.6810986070578,65,3.04836464625612e-06,59,1.75403717398831e-07,3,2.82588981295409e-06,0,0.000105860782947759,2,1.23191182997563e-05
"18","효성1",126.901736136001,37.5306853897339,77,9.65943444447206e-07,144,1.94402182394746e-06,7,1.63060378200337e-05,0,0.000164667014322272,4,1.32334805446194e-05
"19","방학동삼성래미안1",127.047276059135,37.6669775389205,82,1.39639604879956e-06,108,1.14510172234998e-06,8,2.777616650286e-06,0,0.000286674506263414,1,9.13021740332298e-06
"20","서초트라팰리스",127.028382204111,37.4868225738071,83,3.85081293477393e-07,268,4.56659948031219e-08,2,3.96369017890088e-05,0,0.000287637189951366,1,4.74381384420018e-05
"21","한진",126.851939768222,37.4846795429977,41,1.87220787766111e-06,42,1.98579778909191e-06,1,5.98817498671819e-05,1,2.9096611594414e-05,1,3.54466442480197e-05
"22","상계주공10(고층)",127.055709518101,37.6630145873682,91,1.77795802558613e-06,139,6.85872852393806e-06,9,2.37100867394021e-05,0,0.000266440676602455,1,7.25076525349728e-06
"23","상계주공9(고층)",127.060031297398,37.6630564349529,99,2.47572723118041e-06,233,7.06107575296896e-06,8,3.18545792396442e-06,0,0.000327225751686687,3,1.17118256710884e-05
"24","강남데시앙포레",127.091228732871,37.4809597959647,27,6.42101046751791e-07,18,1.85051645559238e-05,2,2.83900453110553e-05,1,5.11055665555479e-05,1,5.60039982950483e-05
"25","경남2",126.856802204555,37.5043353109062,109,2.71103556800846e-07,105,9.65494879128259e-07,2,1.50867276746465e-05,1,2.16493333783577e-05,1,9.57738692393884e-05
"26","금호어울림(580)",127.109269400548,37.6022199011735,34,1.58682628615979e-06,20,1.85814611973032e-06,2,2.3244975397205e-05,2,7.67268315778526e-06,0,0.000143115177441616
"27","벽산블루밍2단지",126.841496388784,37.5136240359991,80,5.78016077687368e-07,67,7.40000845772714e-06,5,1.13665876899425e-06,1,4.18787194902197e-05,0,0.000170623561274281
"28","건영",127.064243687991,37.6354452993831,91,2.04415896603643e-06,82,3.74431992636118e-07,6,2.53149726633007e-05,0,0.000219804715394919,3,1.37170360892372e-05
"29","보람2단지",127.064948745871,37.6661826658174,88,1.52332979597428e-06,106,2.09236137477591e-06,6,4.03771156381959e-06,0,0.000548066178886472,2,5.90300087977974e-05
"30","현대파크",126.837637466629,37.5535762545561,67,1.3406748513544e-06,141,4.41977325995647e-07,4,2.00925722071618e-05,1,5.3590838781315e-05,2,2.38893534199569e-05
"31","주성아트빌",127.124146379739,37.4856599966937,67,1.85598642376756e-07,148,4.59542698208606e-07,1,6.33745784676986e-05,1,1.21114944976684e-05,4,3.78881302905202e-06
"32","쌍용",127.048043148301,37.6597477570553,67,1.11168180352185e-06,132,7.0852935799844e-07,11,2.58404516275761e-06,0,0.000136927812983823,3,4.32668109541312e-05
"33","정릉스카이 쌍용 아파트",127.016729758853,37.5995593887366,126,1.30060841438167e-07,176,2.4460267094604e-06,4,8.09645218466115e-06,1,8.206056356636e-05,2,4.67140777250807e-05
"34","성안마을청구",127.124531649095,37.5317120804393,68,1.07693080124064e-06,241,1.05037076994547e-07,2,6.05782270136557e-05,0,0.000118640243132092,4,1.97100770907946e-05
"35","가양2단지(성지)",126.847174411361,37.5704957193283,49,1.27343710608776e-06,63,8.45927548377176e-09,4,7.1111855518865e-06,2,3.65426408896925e-05,0,0.000238732524141568
"36","남서울힐스테이트",126.900966570969,37.4477871989419,72,3.94988351876416e-06,111,2.74647184322417e-06,8,1.679931478793e-05,1,1.0126956934641e-05,0,0.000107424002951406
"37","관악푸르지오",126.960864947013,37.4873112715491,77,3.01382557784719e-06,127,8.17563116396248e-10,7,2.55473836666794e-06,1,1.77350043501999e-05,0,0.000107312379309519
"38","올림픽훼밀리타운",127.114377260406,37.4885199252165,25,7.86504288511806e-06,102,7.69934074361336e-06,1,8.82593511093211e-05,0,0.000179672421510664,3,3.04308474434074e-05
"39","성호메이플라워멤버스빌",126.891373669998,37.4969004814267,99,1.33200497314362e-07,185,7.42964261403413e-07,7,3.16964306648271e-06,0,0.000632358015315764,2,3.34648285183865e-05
"40","삼형",127.129375938318,37.4837896600392,70,4.99290643460783e-07,108,5.50572462505465e-07,1,9.95512795092553e-06,1,9.10375817990225e-06,2,4.01173264956698e-05
"41","강서힐스테이트",126.840035331251,37.5467408660411,72,3.75394300128896e-06,188,8.09686779288297e-07,6,5.63119354575736e-06,1,7.95146462724188e-05,2,1.80510392379156e-05
"42","우성(23)",126.889025179127,37.5039690303261,100,7.70167611438518e-07,132,1.18047529860137e-06,4,3.47373390730876e-05,0,0.000422437335893315,4,2.7811821042899e-05
"43","서초우방유쉘",127.011210173415,37.4897535465839,81,4.98901769674452e-06,243,3.68463439864449e-06,1,3.81927815404405e-05,0,0.000375632567913135,5,1.71576749968831e-05
"44","상암월드컵파크5단지",126.885970559624,37.5802112884678,74,2.25932366835445e-07,51,1.97444154425276e-06,1,4.94120623386462e-05,1,1.76505943609863e-05,1,9.47070168324804e-05
"45","신동아",127.032836890544,37.5543710515072,132,1.37912347515739e-07,135,1.7428003464742e-06,6,1.88835755803403e-06,0,0.000130742843264372,5,1.94568536634554e-05
"46","래미안장안",127.072426877432,37.566445230313,73,4.58571392597957e-07,147,2.02200123425239e-06,2,6.50217168467474e-05,0,0.000170288996539786,1,9.04831408814692e-05
"47","상아1차아파트",127.042366397692,37.6540057213893,82,1.12095648008616e-06,144,3.41102894729128e-06,10,6.10007791669235e-06,2,4.00346606885275e-05,3,2.87341613790081e-05
"48","문래동삼환",126.88949840102,37.513769607961,90,6.90456667814122e-06,127,7.46862414431753e-06,4,6.56362718601381e-06,0,0.000450631627020698,4,2.69702248225305e-05
"49","상계주공4(고층)",127.062217257976,37.6500654838418,89,3.09552525575806e-07,241,2.18203947601801e-08,1,8.69350000943959e-05,0,0.000133226650229843,3,2.40047387876765e-05
"50","학여울청구",127.061339558817,37.636349632113,88,1.02345208470128e-05,62,4.93922588386638e-06,5,5.20248063222514e-05,0,0.000228989152996234,3,1.67421300384865e-05
"51","신내6대주",127.091014257029,37.6152619825876,54,1.39373570371063e-06,53,2.81275840038107e-06,2,1.68964674774584e-05,1,2.31767847227986e-05,2,4.88897166369225e-06
"52","목동2차아이파크",126.870773219155,37.5367199315549,46,7.70120311886333e-07,127,5.97432217071647e-07,4,3.312269223809e-05,2,3.46328108888508e-05,0,0.000156201661796191
"53","마곡엠밸리4단지",126.824232519697,37.568908134597,62,2.53855907990749e-06,35,6.19755749797697e-06,2,4.5003930871186e-05,0,0.000199246682535337,1,7.5359165152729e-05
"54","거여4단지",127.143843840676,37.4893221464139,45,1.53225973938581e-06,104,4.100800949965e-07,2,2.67341186495122e-05,1,6.72420545253068e-05,1,1.48174846917442e-05
"55","오류동푸르지오",126.841527883195,37.4916084758634,72,1.65238114231364e-07,66,3.73639552594862e-07,1,3.21556723375655e-05,2,5.70060576671217e-05,2,1.69318422218587e-05
"56","거여5단지",127.145300427878,37.4888423797669,39,6.15718104928062e-06,101,4.06325958847225e-06,2,2.44462809181214e-05,1,9.07065088199012e-05,2,2.1373579321428e-05
"57","장미(시영6)",127.067865375948,37.6337021175518,102,1.34325985012224e-06,95,3.36727273439796e-06,6,2.75764708615036e-06,0,0.000118138392628589,3,7.42682372531014e-06
"58","래미안퍼스티지",126.9992463413,37.502931388892,54,3.26155190975582e-06,117,2.31012764290617e-07,0,0.000176784507531702,0,0.000625452799774026,2,3.00847677226019e-05
"59","송파파인타운3단지",127.132938562438,37.4838849061894,78,1.23139877337091e-06,74,6.47290074229345e-06,1,1.53772827129998e-05,1,3.41259661134862e-05,1,7.75233154123857e-05
"60","동아에코빌",127.045423992015,37.6078992370885,90,1.45696201921559e-06,78,1.11100884717077e-07,3,2.44421983204097e-05,1,6.7118017995714e-05,2,1.25017287608824e-05
"61","알파임하우스1",127.035168502395,37.5253231315508,43,3.54873745695488e-06,673,6.40540500650366e-07,1,6.88696545405271e-05,1,4.39109169859339e-07,2,3.32656579505155e-05
"62","경남",126.918489883562,37.5156952809645,76,1.3313701887792e-06,89,1.95808319663266e-06,5,6.1484953617248e-06,2,6.1349897983878e-05,4,2.30742070206142e-06
"63","삼성산주공(주공3단지)",126.926129237992,37.46250743022,45,9.439505968094e-07,20,2.43587137537809e-06,3,3.47659885728249e-05,0,0.000156216316509398,0,0.000482606958756155
"64","거여1단지",127.144586186705,37.4909745878818,45,1.17992346680732e-06,114,2.12197313408667e-06,2,1.16300554910895e-05,1,5.705522434405e-05,2,5.65313697626169e-06
"65","신림큐브",126.932054229593,37.4855860298558,102,1.93869740118922e-06,165,6.82705218499372e-07,8,6.92180936076398e-06,1,8.72187371708396e-05,1,7.97292911099176e-06
"66","경남레이크파크",127.105710627149,37.5097099245285,51,1.82280628322481e-06,222,4.3574637470174e-06,1,4.18660306238324e-05,1,6.26268511773886e-05,5,1.45460422465691e-05
"67","강남데시앙포레",127.091228732871,37.4809597959647,27,6.42101046751791e-07,18,1.85051645559238e-05,2,2.83900453110553e-05,1,5.11055665555479e-05,1,5.60039982950483e-05
"68","아이파크",126.872160531588,37.5216476033758,63,1.84248089686241e-06,154,1.96680861090626e-06,3,8.56098436724426e-06,0,0.000191054197076388,2,1.57869236030465e-05
"69","해태",126.815794483391,37.5636765282958,80,5.78052026628726e-07,90,1.26011034964343e-05,3,4.60417250240638e-05,0,0.000271662957368431,2,2.23631099273432e-05
"70","한라",126.897497023569,37.5075483587484,110,2.56418892504946e-06,102,1.97149580512826e-06,3,1.24505393369576e-05,0,0.000235326579270131,2,3.78667335951249e-05
"71","성원(사슴4)",127.062513840528,37.6294157509446,82,3.44312699269155e-06,73,4.36542921593046e-06,9,8.74333131104262e-06,0,0.000200579235016109,3,2.72109137061715e-05
"72","금호(1차)",126.937736894087,37.4651611978444,42,3.00444505479912e-07,50,1.39187547796111e-05,5,3.02147461112937e-05,1,1.49869843582646e-06,0,0.00031614049201955
"73","그랜드아이파크",126.851250232655,37.5548546834697,88,1.17880799849509e-06,128,2.13411543706609e-09,4,1.06149756003786e-05,1,4.03576242634548e-05,0,0.000203451704244986
"74","동성4",127.096444206008,37.6067265670772,87,1.60709808937364e-06,104,7.65265299701876e-07,1,7.27263466201116e-05,1,3.1978412083393e-05,3,7.235785618245e-05
"75","목련타운",127.085276881942,37.4848511921735,49,2.2327378813076e-06,49,5.32810600402311e-07,3,1.35689440534979e-06,2,4.56656570904205e-05,1,1.98493618001144e-06
"76","상계주공11(고층)",127.055820883513,37.6658310008746,84,1.98701929342619e-06,89,1.53280123402962e-06,8,1.90386100034049e-05,0,0.000363453351318334,1,2.7357344618954e-06
"77","강변",126.855667621933,37.5652163063579,60,1.08531032177627e-06,84,1.21497717880728e-08,4,4.96784028869793e-06,2,1.66377388790388e-05,0,0.000376989142041171
"78","강서힐스테이트",126.840035331251,37.5467408660411,72,3.75394300128896e-06,188,8.09686779288297e-07,6,5.63119354575736e-06,1,7.95146462724188e-05,2,1.80510392379156e-05
"79","한신",127.048060587395,37.6857374077837,65,5.24834366625286e-06,38,1.77450682016231e-06,6,2.94198254204624e-05,1,1.48189935323681e-05,3,1.60532786665747e-05
"80","엘에이치강남아이파크",127.101432102834,37.4746603609888,36,6.24455492827587e-07,18,1.10096167158135e-05,3,4.74238753591654e-06,0,0.000205980596234662,0,0.000156319846284542
"81","라이프씨티",126.90533606194,37.6023769484839,59,1.295586143317e-06,47,4.03285806486883e-06,5,1.3438762360789e-05,1,1.38972704013629e-05,0,0.000118283227582652
"82","태강아파트",127.083557738377,37.6236489350667,81,2.67411401632301e-06,73,2.14444831015309e-06,4,4.78690193151324e-06,1,6.18177027666517e-05,2,1.3133184290249e-05
"83","럭키남서울아파트",126.899439923534,37.4504759758931,79,7.78798056197543e-07,103,3.87313608813065e-06,9,2.3113098640856e-05,1,3.39400446611189e-05,1,5.38893474266694e-05
"84","개봉동현대아이파크",126.85978624525,37.4900606508744,57,1.35424964475939e-06,90,5.58525701960729e-06,2,3.57028408544197e-06,0,0.000127088272962664,1,2.31491597938955e-05
"85","시영2단지(라이프)아파트",127.066724120963,37.6305877904328,103,1.01785738687506e-06,98,1.13824473241528e-06,9,3.62493395756309e-06,0,0.000107541852763687,4,3.52846490996804e-05
"86","한진",126.851939768222,37.4846795429977,41,1.87220787766111e-06,42,1.98579778909191e-06,1,5.98817498671819e-05,1,2.9096611594414e-05,1,3.54466442480197e-05
"87","신현대",127.051822428181,37.5896046831577,62,4.32818583717056e-06,69,3.91073553575405e-06,0,0.000237050967095634,0,0.000154281420665594,1,3.74146943223271e-05
"88","래미안도봉",127.046578551654,37.6794935934997,94,7.31344727352528e-07,73,3.29333950265179e-06,7,1.10566869175868e-05,0,0.000103684584959783,3,1.12118157708939e-06
"89","진로,미주아파트",126.847028675022,37.559838467768,111,4.53760075074178e-07,169,6.12064084320898e-07,7,1.69784682978551e-06,2,3.62650943203408e-05,1,9.34710963741987e-05
"90","한라",127.025890636987,37.4715308560823,31,6.09955848511415e-07,25,7.17261274044444e-07,1,6.42405985696719e-05,2,3.64332478109479e-05,0,0.000226269537688285
"91","우성",127.077148229589,37.6067886910324,71,1.1501444285942e-07,100,1.0114927507413e-06,0,0.000143967258707709,0,0.000246309686109936,2,1.57621179324532e-05
"92","두산",127.068705662251,37.6126556534515,84,7.98171736049629e-06,108,1.85683991368782e-07,2,1.10047332755378e-05,0,0.000268446665058414,5,1.53052554371079e-05
"93","두산",127.016217362383,37.5500382701277,141,2.66188757419211e-07,164,4.27127938515413e-07,9,1.66256529561291e-05,3,7.76380884571058e-06,7,4.44719725599857e-06
"94","코오롱",127.065717692893,37.606282766343,52,3.50701238661688e-07,87,2.32674818255796e-06,1,5.18409437211553e-05,0,0.000231548250039317,3,2.2490676286925e-05
"95","월곡두산위브",127.038365407563,37.607033098723,116,3.01764489341445e-06,150,1.28105125880782e-07,3,1.28530048058704e-05,0,0.000187816106886486,1,3.39231368321696e-05
"96","삼성청담공원아파트",127.050536317213,37.5224202022399,31,5.67892105131389e-06,223,3.09299856070921e-06,3,8.67949158163647e-06,2,4.87117029822278e-06,2,1.83134404695359e-05
