"","지역","범죄발생수","보건기관수","교육기관수","유흥업소수","국립공원수","해당.지역.지하철.지점수","평당가격","합계_자가용","보유도서합계","도서관.방문자수","여권발급합계","은행합계","미세먼지평균"
"1","강남구",7304,7,120,400,7,31,3827.53047619048,217129,856999,6428920,79301,297,40
"2","강동구",4014,4,98,160,7,12,3787.05668449198,143117,893263,4776291,43048,57,42
"3","강북구",3838,3,59,94,4,3,3963.60131396957,71036,429980,922334,27965,25,39
"4","강서구",4924,4,142,164,9,10,4045.1986618631,185293,689936,3035500,55836,68,47
"5","관악구",5328,3,94,259,2,4,3904.01632653061,113094,411147,871112,47909,41,49
"6","광진구",4011,4,78,19,2,11,4002.00358851675,92849,386513,2518424,39371,50,41
"7","구로구",4707,3,92,46,4,7,3979.36558548653,132105,802387,2765342,35931,63,42
"8","금천구",3105,2,54,65,4,1,3942.94078549849,82655,328272,1671508,24564,49,39
"9","노원구",4153,4,165,31,2,16,3990.39226100152,143259,863355,3947227,50625,53,44
"10","도봉구",2110,2,76,26,6,8,3985.54008438819,88001,591722,1767791,18443,25,38
"11","동대문구",3692,6,79,106,4,10,4019.64695121951,92930,489246,2455219,33411,49,48
"12","동작구",3400,3,80,61,7,12,4015.36168639053,102756,372327,1458268,34406,45,44
"13","마포구",4842,1,72,76,5,19,3948.66928789865,112636,642596,3629379,40390,89,40
"14","서대문구",2943,3,65,46,4,7,3967.27421332244,83274,479088,1611088,33419,48,38
"15","서초구",5542,3,82,100,6,12,3838.52246696035,167156,295197,2149663,89692,175,44
"16","성동구",2512,3,71,26,5,18,4093.63560583507,93724,508373,2903130,31979,53,42
"17","성북구",2877,2,111,9,3,9,3981.88918647472,115494,622319,1642640,38018,51,43
"18","송파구",5698,3,141,130,7,29,3791.79438314945,231943,716555,4904383,78696,133,40
"19","양천구",3214,4,108,7,5,5,4001.98255813953,142584,548565,3288722,39619,59,48
"20","용산구",3313,2,47,37,2,15,4096.26652892562,77028,874107,2332135,29950,67,34
"21","은평구",3880,4,117,104,7,15,4063.08181818182,124620,541209,2629946,36812,37,45
"22","종로구",3846,6,60,245,12,15,4032.95572772551,44541,1181493,4112688,47601,115,38
"23","중구",4327,4,48,288,5,25,4107.37257175993,45619,606096,1598663,21085,176,38
"24","중랑구",4268,4,78,30,6,13,3987.77227101631,104568,404991,1958929,31834,30,45
