연도,학교종류,시도,행정구,학교명,학교명(영문),본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2020,전문대학(4년제),서울,서울 동대문구,삼육보건대학교,Sahmyook Health University,본교,기존,사립,02500,서울특별시 동대문구 망우로 82 (휘경동),02-2212-0082        ,02-2215-2380        ,http://www.shu.ac.kr
2020,전문대학(4년제),서울,서울 서대문구,서울여자간호대학교,Seoul Women's College of nursing,본교,기존,사립,03617,"서울특별시 서대문구 간호대로 38 (홍제동, 서울여자간호대학)",02-2287-1700        ,02-395-8018         ,www.snjc.ac.kr
2020,전문대학(4년제),광주,광주 남구,기독간호대학교,Christian College of Nursing,본교,기존,사립,61662,"광주광역시 남구 백서로70번길 6 (양림동, 기독간호대학)",062-650-8000        ,062-675-5806        ,ccn.ac.kr
2020,전문대학(4년제),광주,광주 동구,조선간호대학교,CHOSUN NURSING COLLEGE,본교,기존,사립,61453,"광주광역시 동구 필문대로 309-2 (서석동, 조선간호대학교)",062-231-7022,062-231-7029,www.cnc.ac.kr
2020,전문대학(4년제),강원,강원 영월군,세경대학교,saekyung university,본교,기존,사립,26239,"강원도 영월군 영월읍 하송로 197 (하송리, 세경대학)",033-371-3000,033-371-3059,www.saekyung.ac.kr
2020,전문대학(4년제),충북,충북 음성군,강동대학교,GANGDONG UNIVERSITY,본교,기존,사립,27600,"충청북도 음성군 감곡면 대학길 278 (단평리, 강동대학교)",043-879-3300        ,043-881-3310        ,www.gangdong.ac.kr
2020,전문대학(4년제),충남,충남 천안시,백석문화대학교,BAEKSEOK CULTURE UNIVERSITY,본교,기존,사립,31065,"충청남도 천안시 동남구 문암로 58 (안서동, 백석문화대학교)",041-550-0700        ,041-550-9113,www.bscu.ac.kr
2020,전문대학(4년제),전북,전북 군산시,군산간호대학교,KUNSAN COLLEGE OF NURSING,본교,기존,사립,54068,"전라북도 군산시 동개정길 7 (개정동, 군산간호대학교)",063-450-3855,063-450-3899        ,www.kcn.ac.kr
2020,전문대학(4년제),전남,전남 순천시,순천제일대학교,suncheon jeil college,본교,기존,사립,57997,"전라남도 순천시 제일대학길 17 (덕월동, 순천제일대학)",061-740-1234        ,061-743-5106        ,www.suncheon.ac.kr
2020,전문대학(3년제),서울,서울 구로구,동양미래대학교,Dongyang Mirae University,본교,기존,사립,08221,"서울특별시 구로구 경인로 445 (고척동, 동양미래대학교)",02-2610-1700        ,02-2688-5494        ,www.dongyang.ac.kr/
2020,전문대학(3년제),서울,서울 서대문구,명지전문대학,MYONGJI COLLEGE,본교,기존,사립,03656,"서울특별시 서대문구 가좌로 134 (홍은동, 명지전문대학)",02-300-1000         ,02-304-4832         ,www.mjc.ac.kr
2020,전문대학(3년제),서울,서울 종로구,배화여자대학교,Baewha Women's University,본교,기존,사립,03039,"서울특별시 종로구 필운대로1길 34 (필운동, 배화여자대학)",02-399-0700         ,02-737-8431         ,www.baewha.ac.kr
2020,전문대학(3년제),부산,부산 사상구,경남정보대학교,Kyungnam College of Information and Technology,본교,기존,사립,47011,"부산광역시 사상구 주례로 45 (주례동, 경남정보대학)",051-324-5555,051-324-1858,www.kit.ac.kr
2020,전문대학(3년제),부산,부산 해운대구,동부산대학교,DONG-PUSAN COLLEGE,본교,기존,사립,48000,"부산광역시 해운대구 운봉길 60 (반송동, 동부산대학교)",051-542-8891,0515403844,www.dpc.ac.kr
2020,전문대학(3년제),부산,부산 사하구,동주대학교,Dongju College,본교,기존,사립,49318,"부산광역시 사하구 사리로55번길 16 (괴정동, 동주대학)",051-200-3300,051-201-5420,www.dongju.ac.kr
2020,전문대학(3년제),대구,대구 북구,대구보건대학교,DAEGU HEALTH COLLEGE,본교,기존,사립,41453,"대구광역시 북구 영송로 15 (태전동, 대구보건대학)",053-320-1300,053-320-1239,www.dhc.ac.kr
2020,전문대학(3년제),대구,대구 수성구,수성대학교,SUSEONG UNIVERSITY,본교,기존,사립,42078,"대구광역시 수성구 달구벌대로528길 15 (만촌동, 수성대학교)",053-749-7000        ,053-751-1823        ,WWW.SC.AC.KR
2020,전문대학(3년제),인천,인천 계양구,경인여자대학교,KYUNGIN WOMEN'S UNIVERSITY,본교,기존,사립,21041,"인천광역시 계양구 계양산로 63 (계산동, 경인여자대학)",032-540-0114        ,032-545-2095      ,www.kiwu.ac.kr
2020,전문대학(3년제),인천,인천 미추홀구,인하공업전문대학,INHA TECHNICAL COLLEGE,본교,기존,사립,22212,"인천광역시 미추홀구 인하로 100 (용현동, 인하대,인하공전,정석항공고)",032-870-2114,032-870-2489,www.inhatc.ac.kr
2020,전문대학(3년제),광주,광주 광산구,광주보건대학교,GWANGJU HEALTH UNIVERSITY,본교,기존,사립,62287,"광주광역시 광산구 북문대로419번길 73 (신창동, 광주보건대학)",062-958-7500,062-953-4946,www.ghu.ac.kr
2020,전문대학(3년제),광주,광주 북구,동강대학교,dongkang college,본교,기존,사립,61200,"광주광역시 북구 동문대로 50 (풍향동, 동강대학교)",062-520-2114        ,062-520-2216        ,www.dkc.ac.kr
2020,전문대학(3년제),광주,광주 북구,서영대학교,SEOYEONG UNIVERSITY,본교,기존,사립,61268,"광주광역시 북구 서강로 1 (운암동, 서영대학교)",062-520-5114,062-523-1603,www.seoyeong.ac.kr
2020,전문대학(3년제),광주,광주 남구,송원대학,SONGWON COLLEGE,본교,폐교,사립,61756,"광주광역시 남구 송암로 73 (송하동, 송원대학)",062-360-5700        ,062-360-5756        ,www.songwon.ac.kr
2020,전문대학(3년제),대전,대전 서구,대전과학기술대학교,DAEJEON INSTITUTE OF SCIENCE AND TECHNOLOGY,본교,기존,사립,35408,"대전광역시 서구 혜천로 100 (복수동, 대전과학기술대학교)",042-580-6114,042-580-6159,www.dst.ac.kr
2020,전문대학(3년제),대전,대전 동구,우송정보대학,WOOSONG COLLEGE,본교,기존,사립,34518,"대전광역시 동구 백룡로 59 (자양동, 우송정보대학동캠퍼스)",042-629-6114,042-629-6653,www.wsi.ac.kr
2020,전문대학(3년제),울산,울산 동구,울산과학대학교,ULSAN COLLEGE,본교,기존,사립,44022,"울산광역시 동구 봉수로 101 (화정동, 울산과학대학동부캠퍼스)",052-230-0500        ,052-234-9300        ,www.uc.ac.kr
2020,전문대학(3년제),울산,울산 울주군,춘해보건대학교,Choonhae College of Health Sciences,본교,기존,사립,44965,"울산광역시 울주군 웅촌면 대학길 9 (곡천리, 춘해보건대학)",052-270-0100,052-225-9889,www.ch.ac.kr
2020,전문대학(3년제),세종,세종 ,한국영상대학교,KOREA  UNIVERSITY OF MEDIA ARTS,본교,기존,사립,30056,"세종특별자치시 장군면 대학길 300 (금암리, 한국영상대학교)",044-850-9000        ,044-850-9029,www.pro.ac.kr
2020,전문대학(3년제),경기,경기 의정부시,경민대학교,KYUNGMIN UNIVERSITY,본교,기존,사립,11618,"경기도 의정부시 서부로 545 (가능동, 경민대학)",031-828-7700        ,031-828-7029,www.kyungmin.ac.kr
2020,전문대학(3년제),경기,경기 남양주시,경복대학교,KYUNGBOK UNIVERSITY,본교,기존,사립,12051,"경기도 남양주시 진접읍 경복대로 425 (금곡리, 경복대학교)",031-570-9901~6,031-570-9568,www.kbu.ac.kr
2020,전문대학(3년제),경기,경기 김포시,김포대학교,KIMPO University,본교,기존,사립,10020,"경기도 김포시 월곶면 김포대학로 97 (포내리, 김포대학교)",031-999-4114,031-989-4387,www.kimpo.ac.kr
2020,전문대학(3년제),경기,경기 고양시,농협대학교,Agricultural Cooperative University,본교,기존,사립,10292,"경기도 고양시 덕양구 서삼릉길 281 (원당동, 농협대학)",031-960-4000,031-960-4119,www.nonghyup.ac.kr
2020,전문대학(3년제),경기,경기 안양시,대림대학교,DAELIM UNIVERSITY COLLEGE,본교,기존,사립,13916,"경기도 안양시 동안구 임곡로 29 (비산동, 대림대학교)",031-467-4700    ,031-446-8729        ,www.daelim.ac.kr
2020,전문대학(3년제),경기,경기 수원시,동남보건대학교,DONGNAM HEALTH UNIVERSITY,본교,기존,사립,16328,"경기도 수원시 장안구 천천로74번길 50 (정자동, 동남보건대학)",031-249-6333        ,031-249-6334        ,www.dongnam.ac.kr
2020,전문대학(3년제),경기,경기 안성시,동아방송예술대학교,Dong-Ah Institute of Media and Arts,본교,기존,사립,17516,"경기도 안성시 삼죽면 동아예대길 47 (진촌리, 동아방송예술대학교)",031-670-6600        ,031-674-2997        ,www.dima.ac.kr
2020,전문대학(3년제),경기,경기 광주시,동원대학교,TONGWON UNIVERSITY,본교,기존,사립,12813,"경기도 광주시 곤지암읍 경충대로 26 (신촌리, 동원대학)",031-763-8541        ,031-763-9157        ,www.tw.ac.kr
2020,전문대학(3년제),경기,경기 안산시,서울예술대학교,SEOUL INSTITUTE OF THE ARTS,본교,기존,사립,15263,"경기도 안산시 단원구 예술대학로 171 (고잔동, 서울예술대학)",031-412-7100        ,,http://www.seoularts.ac.kr
