"ÀÏ·Ã¹øÈ£","±¸ºÐÄÚµå","Áö¿ªÄÚµå","¾ð¾î","ÀÌ¸§","ÁÖ¼Ò","È¨ÆäÀÌÁö","ÀÌ¹ÌÁö¸í","ÀÌ¹ÌÁö°æ·Î","À§µµ","°æµµ","»ç¿ë¿©ºÎ"
"95","M002","H001","ENG","Bukchon 2 Guesthouse","20-17 Bukchon-ro Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=593&pcate=2&smarket[0]=&smarket[1]=&sword=Bukchon%202%20Guesthouse&pn=1","SPM_1485849135268.jpg","/home/data/shp/place/","37.5786179","126.985696","Y"
"5","M010","H001","KOR","ºÏÃÌ¹®È­¿äÀÏ","ºÏÃÌ¹®È­¼¾ÅÍ(Á¾·Î±¸ °èµ¿±æ 37)","http://hanok.seoul.go.kr/front/kor/bbs/selectBoardArticle.do?nttId=626&bbsId=BBSMSTR_000000000031","SPM_1517969382048.jpg","/home/data/shp/place/","37.5790313","126.98640820000003","N"
"6","M002","H001","KOR","¿©¸§ÇÑ¿Á","Á¾·Î±¸ ÇÊ¿î´ë·Î5°¡±æ 11-2","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=644&pcate=2&smarket[0]=&smarket[1]=&sword=%EC%97%AC%EB%A6%84%ED%95%9C%EC%98%A5&pn=1","SPM_1483599066973.png","/home/data/shp/place/","37.579849","126.968176","N"
"100","M002","H002","ENG","Sejong Guest House","16 Jahamun-ro 1ra-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=588&pcate=2&smarket[0]=&smarket[1]=&sword=Sejong%20Guest%20House&pn=1","SPM_1485849764646.jpg","/home/data/shp/place/","37.5771046","126.97076019999997","Y"
"108","M002","H001","ENG","Yeon-Dang Guest House","3 Gyedong 6-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=477&pcate=2&smarket[0]=&smarket[1]=&sword=Yeon-Dang%20Guest%20House&pn=1","SPM_1485851504523.jpg","/home/data/shp/place/","37.5824775","126.98700570000005","Y"
"76","M005","H002","KOR","¹«°è¿ø","Á¾·Î±¸ Ã¢ÀÇ¹®·Î5°¡±æ 2","http://www.jfac.or.kr/site/main/content/moogw01","SPM_1484806937780.jpg","/home/data/shp/place/","37.5919699","126.9634479","Y"
"85","M005","H001","ENG","Bukchon Small Gallery","11-9 Gyedong 2-gil Jongno-gu","http://121.126.244.177:9090/front/eng/exp/expGalle","SPM_1485846013406.jpg","/home/data/shp/place/","37.58029459999999","126.98767610000004","Y"
"105","M002","H001","ENG","Manaedang","103-2 Gyedong-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=521&pcate=2&smarket[0]=&smarket[1]=&sword=Manaedang&pn=1","SPM_1485850288109.jpg","/home/data/shp/place/","37.581926","126.98669050000001","Y"
"1","M006","H001","KOR","ºÏÃÌ¹®È­¼¾ÅÍ","Á¾·Î±¸ °èµ¿±æ 37","http://121.126.244.177:9090/front/kor/exp/expCenter.do","SPM_1483578173404.jpg","/home/data/shp/place/","37.5790313","126.98640820000003","Y"
"113","M002","H004","ENG","Moon Guesthouse","31-18 Samil-daero 32-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=446&pcate=2&smarket[0]=&smarket[1]=&sword=Moon%20Guesthouse&pn=1","SPM_1485851998802.jpg","/home/data/shp/place/","37.5761966","126.98871759999997","Y"
"115","M002","H001","ENG","Todaki hanok guesthouse","160-1 Changdeokgung-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=346&pcate=2&smarket[0]=&smarket[1]=&sword=Todaki%20hanok%20guesthouse&pn=1","SPM_1485852139311.jpg","/home/data/shp/place/","37.5831072","126.98710019999999","Y"
"116","M002","H001","ENG","Hueahn","32-1 Bukchon-ro 6-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=344&pcate=2&smarket[0]=&smarket[1]=&sword=Hueahn&pn=1","SPM_1485852252849.jpg","/home/data/shp/place/","37.5801623","126.98653999999999","Y"
"118","M002","H001","ENG","Kimchi Guesthouse","45-10 Jahamun-ro 1-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=329&pcate=2&smarket[0]=&smarket[1]=&sword=Kimchi%20Guesthouse&pn=1","SPM_1485856165366.jpg","/home/data/shp/place/","37.576397","126.96958240000004","Y"
"120","M002","H001","ENG","Samcheongdong-house","25-6 Palpan-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=327&pcate=2&smarket[0]=&smarket[1]=&sword=Samcheongdong-house&pn=1","SPM_1485907483169.jpg","/home/data/shp/place/","37.5831154","126.98093859999994","Y"
"121","M004","H001","ENG","GODRATDOL","1-6 Bukchon-ro 11na-gil Jongno-gu","","SPM_1485910110931.jpg","/home/data/shp/place/","37.582114","126.983489","Y"
"125","M004","H001","ENG","Mother-Of-Pearl Inlaying and Lacquering","3 Gyedong 4-gil Jongno-gu","/front/eng/exp/expPlaceView.do?spmSeq=40&searchGubun=P100","SPM_1485910526859.jpg","/home/data/shp/place/","37.582462","126.987049","Y"
