기간,자치구,개소,좌석수,도서,비도서,연속간행물(종),도서관 방문자수,자료실 이용자수,연간대출 책수,직원계,직원남자,직원여자,예산
2019,합계,180,"46,253","14,995,316","570,232","23,775","66,928,527","49,968,428","23,982,384","2,782",773,"2,009","161,883"
2019,종로구,7,"2,399","1,181,493","54,008","2,008","4,112,688","2,675,707","1,075,890",194,61,133,"11,170"
2019,중구,5,689,"606,096","24,398",604,"1,598,663","1,391,294","587,638",97,18,79,"6,210"
2019,용산구,4,"1,587","874,107","37,396","1,657","2,332,135","1,565,421","631,901",133,33,100,"6,286"
2019,성동구,6,"1,675","508,373","16,560",505,"2,903,130","2,570,590","770,382",101,20,81,"4,545"
2019,광진구,4,"1,348","386,513","8,451",550,"2,518,424","2,310,149","914,253",46,16,30,"5,812"
2019,동대문구,5,"1,228","489,246","24,998","1,172","2,455,219","1,708,607","649,665",96,34,62,"6,218"
2019,중랑구,5,"1,564","404,991","9,631",417,"1,958,929","1,558,060","673,158",69,22,47,"4,287"
2019,성북구,12,"1,813","622,319","28,835",386,"1,642,640","991,632","703,723",126,36,90,"5,964"
2019,강북구,7,"1,699","429,980","11,934",263,"922,334","562,388","537,456",73,32,41,"4,514"
2019,도봉구,7,"1,913","591,722","28,466",783,"1,767,791","1,012,211","848,013",98,32,66,"6,201"
2019,노원구,11,"3,352","863,355","38,375",922,"3,947,227","2,350,725","1,337,978",158,43,115,"9,625"
2019,은평구,8,"2,579","541,209","28,465","1,155","2,629,946","1,864,982","1,013,490",168,49,119,"8,700"
2019,서대문구,4,978,"479,088","16,069",788,"1,611,088","937,581","525,111",71,22,49,"4,576"
2019,마포구,6,"2,333","642,596","30,120","1,197","3,629,379","2,760,176","1,395,050",154,42,112,"11,761"
2019,양천구,9,"1,894","548,565","24,420",939,"3,288,722","2,787,362","1,502,712",117,30,87,"5,407"
2019,강서구,9,"2,793","689,936","24,464","1,111","3,035,500","2,266,719","1,321,268",143,37,106,"7,768"
2019,구로구,11,"2,061","802,387","23,710","1,138","2,765,342","2,130,076","935,452",119,35,84,"5,699"
2019,금천구,4,"1,423","328,272","12,961",439,"1,671,508","1,372,017","454,976",48,13,35,"2,613"
2019,영등포구,5,"1,107","459,580","24,442",887,"1,549,225","1,055,406","583,068",92,26,66,"6,073"
2019,동작구,6,955,"372,327","11,742",575,"1,458,268","1,267,467","848,049",69,18,51,"4,102"
2019,관악구,5,"1,040","411,147","8,366","1,189","871,112","603,953","480,614",73,31,42,"2,413"
2019,서초구,7,"1,630","295,197","8,582",476,"2,149,663","1,664,666","864,138",66,17,49,"4,643"
2019,강남구,13,"2,567","856,999","29,234","1,525","6,428,920","4,637,937","1,839,701",183,36,147,"9,863"
2019,송파구,12,"2,430","716,555","17,854","1,470","4,904,383","4,096,822","1,927,254",160,48,112,"9,284"
2019,강동구,8,"3,196","893,263","26,751","1,619","4,776,291","3,826,480","1,561,444",128,22,106,"8,148"
