기간,자치구,동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
2021.1/4,합계,합계,"4,400,403","1,853,932","964,895","758,205","639,566","143,256","30,269","7,221","1,967",620,472
2021.1/4,종로구,계,"74,113","37,875","14,490","10,557","8,263","2,231",480,149,43,13,12
2021.1/4,종로구,사직동,"4,787","2,427",952,700,524,136,24,18,3,-,3
2021.1/4,종로구,삼청동,"1,259",638,260,162,135,43,16,5,-,-,-
2021.1/4,종로구,부암동,"4,294","1,666","1,002",751,623,183,46,16,3,1,3
2021.1/4,종로구,평창동,"7,532","2,462","1,810","1,462","1,316",377,70,18,12,4,1
2021.1/4,종로구,무악동,"3,075",679,714,737,725,180,25,12,1,1,1
2021.1/4,종로구,교남동,"4,468","1,598","1,075",920,706,129,31,6,2,1,-
2021.1/4,종로구,가회동,"2,019",938,439,326,220,65,20,6,4,-,1
2021.1/4,종로구,종로1.2.3.4가동,"5,279","4,214",530,279,191,45,15,3,2,-,-
2021.1/4,종로구,종로5·6가동,"3,466","2,463",505,273,170,43,8,3,1,-,-
2021.1/4,종로구,이화동,"4,304","2,673",747,450,324,86,14,9,-,1,-
2021.1/4,종로구,창신1동,"2,930","1,769",574,316,188,66,12,5,-,-,-
2021.1/4,종로구,창신2동,"4,156","2,056",950,566,417,133,28,5,1,-,-
2021.1/4,종로구,창신3동,"2,811",887,704,635,414,137,30,1,3,-,-
2021.1/4,종로구,숭인1동,"3,023","1,461",687,441,321,87,20,5,-,1,-
2021.1/4,종로구,숭인2동,"6,099","4,209",935,489,358,88,16,4,-,-,-
2021.1/4,종로구,청운효자동,"5,237","1,985","1,142","1,008",811,220,50,13,5,3,-
2021.1/4,종로구,혜화동,"9,374","5,750","1,464","1,042",820,213,55,20,6,1,3
2021.1/4,중구,계,"63,746","32,516","13,695","9,016","6,388","1,586",391,101,26,10,17
2021.1/4,중구,소공동,"1,199",708,208,190,71,15,4,1,-,1,1
2021.1/4,중구,회현동,"3,014","1,960",448,291,229,63,11,9,2,1,-
2021.1/4,중구,명동,"1,569","1,094",235,131,75,22,5,3,1,-,3
