기간,자치구,합계,남자,여자,관용,일반,1년단수,5년미만 복수,5년복수,10년복수,20세이하,21∼30,31∼40,41∼50,51∼60,61세이상
2019,합계,"1,058,610","524,046","534,564","2,493","1,056,117","11,760","27,190","201,054","818,606","244,601","168,085","171,281","164,463","151,791","158,389"
2019,종로구,"47,601","25,946","21,655",564,"47,037",332,794,"8,684","37,791","9,230","6,336","10,610","10,133","6,637","4,655"
2019,중구,"21,085","11,565","9,520",33,"21,052",157,382,"3,179","17,367","3,702","3,022","4,153","3,962","3,432","2,814"
2019,용산구,"29,950","14,723","15,227",465,"29,485",374,707,"5,971","22,898","6,776","4,494","5,397","5,041","4,043","4,199"
2019,성동구,"31,979","15,577","16,402",18,"31,961",529,900,"6,173","24,377","7,621","5,568","5,164","4,632","4,556","4,438"
2019,광진구,"39,371","19,333","20,038",9,"39,362",696,"1,360","6,900","30,415","9,016","8,174","6,175","5,408","5,338","5,260"
2019,동대문구,"33,411","16,971","16,440",14,"33,397",495,940,"5,995","25,981","7,649","5,858","4,851","4,624","5,059","5,370"
2019,중랑구,"31,834","15,430","16,404",12,"31,822",424,604,"6,354","24,452","7,715","4,529","4,351","4,450","5,428","5,361"
2019,성북구,"38,018","18,262","19,756",24,"37,994",585,"1,372","7,841","28,220","10,366","7,092","4,868","5,249","4,975","5,468"
2019,강북구,"27,965","12,979","14,986",14,"27,951",339,646,"4,934","22,046","6,314","4,566","3,477","3,859","4,635","5,114"
2019,도봉구,"18,443","9,043","9,400",9,"18,434",187,391,"3,753","14,112","4,557","2,283","2,141","2,637","3,132","3,693"
2019,노원구,"50,625","23,783","26,842",16,"50,609",381,"1,469","10,925","37,850","14,235","7,264","5,800","7,527","8,064","7,735"
2019,은평구,"36,812","17,126","19,686",10,"36,802",474,783,"7,260","28,295","9,081","4,941","4,901","5,317","5,808","6,764"
2019,서대문구,"33,419","16,332","17,087",24,"33,395",724,"1,605","6,006","25,084","8,160","7,615","4,757","4,544","4,130","4,213"
2019,마포구,"40,390","19,956","20,434",18,"40,372",446,993,"7,400","31,551","9,114","7,016","7,276","6,526","5,260","5,198"
2019,양천구,"39,619","18,971","20,648",29,"39,590",298,985,"9,567","28,769","11,674","4,373","4,675","6,429","6,489","5,979"
2019,강서구,"55,836","27,016","28,820",77,"55,759",408,"1,056","11,043","43,329","13,190","8,196","9,415","8,418","8,128","8,489"
2019,구로구,"35,931","18,443","17,488",10,"35,921",348,701,"6,563","28,319","7,779","5,171","5,733","5,713","5,604","5,931"
2019,금천구,"24,564","12,857","11,707",10,"24,554",171,380,"4,426","19,587","5,154","3,784","4,050","3,879","3,985","3,712"
2019,영등포구,"48,705","25,084","23,621",303,"48,402",316,804,"8,690","38,895","9,750","6,699","9,248","8,210","7,204","7,594"
2019,동작구,"34,406","16,777","17,629",96,"34,310",405,980,"6,183","26,838","7,646","6,273","5,287","4,692","4,687","5,821"
2019,관악구,"47,909","24,232","23,677",54,"47,855","1,223","1,741","7,223","37,722","9,240","12,353","7,313","5,646","6,021","7,336"
2019,서초구,"89,692","45,516","44,176",552,"89,140",785,"2,483","16,962","69,462","19,768","12,423","15,756","15,472","11,972","14,301"
2019,강남구,"79,301","39,066","40,235",63,"79,238",744,"2,267","13,946","62,344","16,875","13,369","16,174","14,272","9,240","9,371"
2019,송파구,"78,696","37,903","40,793",52,"78,644",530,"1,771","16,343","60,052","19,390","11,027","13,422","11,634","11,058","12,165"
2019,강동구,"43,048","21,155","21,893",17,"43,031",389,"1,076","8,733","32,850","10,599","5,659","6,287","6,189","6,906","7,408"
