"","aptnm","지번주소","위도","경도"
"1","현대3"," 대림동 608-1","37.5055326031402","126.895613306369"
"2","한마을"," 개봉동 476","37.4952644521652","126.862501576596"
"3","동성타워프라자"," 신내동 786","37.6080532191686","127.097279347621"
"4","왕십리KCC스위첸"," 하왕십리동 1002","37.5608432938815","127.02668707042"
"5","창동주공3단지(해등마을)"," 창동 347","37.6500631583751","127.04420113616"
"6","애오개아이파크"," 아현동 780","37.5538365545782","126.956008539429"
"7","동양2차"," 휘경동 117","37.5923134152138","127.066893180891"
"8","현대(289-5)"," 월계동 289-5","37.6297183648449","127.058708368498"
"9","보아스힐(701-4)"," 반포동 701-4","37.5092776254395","127.017234842132"
"10","문정래미안"," 문정동 1","37.4906216221509","127.130293454812"
"11","그린스테이트"," 쌍문동 311","37.651008639581","127.028801524773"
"12","엘에이치강남아이파크"," 자곡동 602","37.4746603609888","127.101432102834"
"13","아크로타워"," 문배동 24-21","37.5367545540992","126.968551771604"
"14","목동신시가지8"," 신정동 314","37.5216269650802","126.867656607229"
"15","주공2"," 중계동 369","37.6568915639532","127.078983583783"
"16","두산위브트레지움2차"," 상도동 535","37.5038799849199","126.942775389314"
"17","중계그린1단지"," 중계동 502-1","37.6443713328952","127.063281683752"
"18","동익"," 수서동 738","37.485322064615","127.096512817155"
"19","서초포레스타3단지"," 신원동 568","37.4547927807654","127.058783958518"
"20","개포우성3차"," 개포동 652","37.4839732673555","127.056013870468"
"21","태진한솔"," 염창동 263","37.5491303816883","126.874025170747"
"22","미성"," 월계동 13","37.6245905661541","127.065415722199"
"23","현대","당산동2가 164","37.5235070630665","126.894880105473"
"24","레베빌(86-10)"," 반포동 86-10","37.495361947183","126.999672851959"
"25","홍제한양"," 홍제동 82","37.5833210740055","126.946971087746"
"26","위례22단지(비발디)"," 장지동 879","37.4793589648996","127.1401853902"
"27","쌍용"," 논현동 103","37.5196304885538","127.038130798745"
"28","반포 주공1단지"," 반포동 757","37.5053542268515","126.989035969938"
"29","관악산벽산타운5"," 시흥동 1013","37.4479160600139","126.918442104095"
"30","신트리1"," 신정동 1259","37.5137367146629","126.853687850909"
"31","두산"," 봉천동 1708","37.4845267749186","126.942894626699"
"32","훼미리하우스138"," 당산동 121-108","37.5275709581712","126.907961079352"
"33","신내9진흥"," 신내동 657","37.6119855898595","127.094726629688"
"34","돈암현대아파트"," 돈암동 1","37.6032350599381","127.026198036694"
"35","주공19단지(창동 리버타운)"," 창동 27","37.6492614170598","127.0508054847"
"36","한양8(81동한개동)"," 압구정동 510","37.5299675412155","127.04176056125"
"37","샹그레빌"," 하월곡동 224","37.5964358866582","127.041393315971"
"38","롯데캐슬루나"," 월계동 947","37.6265472079358","127.049792127486"
"39","잠실엘스"," 잠실동 19","37.5129324772866","127.081460737023"
"40","신금호파크자이","금호동2가 1","37.5554463365528","127.01862075193"
"41","휴먼시아2단지"," 상암동 1618","37.5749303723564","126.897036147318"
"42","라인"," 오류동 334","37.4966573575279","126.847068079363"
"43","벽산메가트리움","한강로2가 2-8","37.5322146493411","126.969810417481"
"44","은마"," 대치동 316","37.4974180026259","127.065327020175"
"45","을미월드힐"," 독산동 958","37.4785494931155","126.901460976217"
"46","동방"," 신월동 607-1","37.5214506752172","126.846468395387"
"47","극동"," 하계동 271-3","37.6354452993831","127.064243687991"
"48","화성두산아파트"," 신내동 656","37.6136323565234","127.095137479055"
"49","주공10"," 등촌동 702","37.5623617210231","126.848366667212"
"50","초안1"," 월계동 923","37.6329811765686","127.04430328766"
"51","강일리버파크5단지"," 강일동 670","37.5675089335842","127.178202563017"
"52","송산아파트","동소문동4가 279","37.592389569798","127.010468499624"
"53","마곡수명산파크5단지"," 내발산동 749","37.5519895481685","126.827067848467"
"54","현대1"," 염창동 288","37.552852468414","126.875104087032"
"55","도화동현대"," 도화동 357","37.5394262391029","126.953860158167"
"56","현대"," 월계동 929","37.6185519738013","127.062581879712"
"57","송파파인타운9단지"," 장지동 843","37.4781865623828","127.128795455004"
"58","암사e편한세상"," 암사동 422-26","37.5512824427224","127.138884127153"
"59","돈의문센트레빌"," 냉천동 261","37.566139089896","126.961583473485"
"60","미성"," 신천동 17-6","37.5175143936743","127.10703830561"
"61","삼성타운"," 대조동 231","37.609031353119","126.9217710449"
"62","한화오벨리스크"," 도화동 555","37.5400400282508","126.945470495343"
