도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
개항장 마을문고 한중도서관,인천광역시,중구,작은도서관,일요일+법정공휴일,09:30,18:00,09:00,18:00,00:00,00:00,30,5450,0,0,0,0,"인천광역시 중구 차이나타운로59번길 20, (선린동)",,032-777-6506,,,,37.4737405,126.6191302,2021-05-17,3490000,인천광역시 중구
영온 도서관,인천광역시,중구,작은도서관,일요일+법정공휴일,10:00,19:00,10:00,19:00,00:00,00:00,6,1000,3,0,0,0,"인천광역시 중구 하늘달빛로64번길 6-3, (중산동)",,032-752-8012,,,,37.48575262,126.5604465,2021-05-17,3490000,인천광역시 중구
하늘꿈 도서관,인천광역시,중구,작은도서관,화요일+목요일+토요일+일요일+법정공휴일,10:00,16:00,00:00,00:00,00:00,00:00,22,2000,0,0,0,0,"인천광역시 중구 은하수로 465, (중산동, 영종7단지엘에이치)",,,,,,37.48434276,126.5516311,2021-05-17,3490000,인천광역시 중구
용유중앙도서관,인천광역시,중구,작은도서관,법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,13,1122,0,0,0,0,인천광역시 중구 용유서로304번길 7,,,,,,37.4460063,126.3758621,2021-05-17,3490000,인천광역시 중구
영종1단지LH아파트작은도서관,인천광역시,중구,작은도서관,법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,25,1064,0,0,3,7,인천광역시 중구 영종대로278번길 50,,032-746-9029,,,,37.48466953,126.4992889,2021-05-17,3490000,인천광역시 중구
하늘기쁨작은도서관,인천광역시,중구,작은도서관,법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,20,1200,0,0,3,7,인천광역시 중구 월촌길 52(중산동),,032-751-9190,,,,37.49687864,126.5664245,2021-05-17,3490000,인천광역시 중구
코너스톤작은도서관,인천광역시,중구,작은도서관,법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,30,4000,0,0,0,0,"인천광역시 중구 하늘달빛로94, 10층",,032-751-3927,,,,37.48729847,126.5574795,2021-05-17,3490000,인천광역시 중구
생명나무도서관,인천광역시,중구,작은도서관,법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,15,3000,0,0,0,0,"인천광역시 중구 연안부두로33번길 21, 2층(항동7가)",,,,,,37.4547963,126.6049499,2021-05-17,3490000,인천광역시 중구
영암도서관,전라남도,영암군,공공도서관,국경일,08:00,22:00,08:00,22:00,08:00,22:00,582,152288,13,12231,5,14,전라남도 영암군 영암읍 교동로 89-5,영암군청,061-470-6821,5500,2473,http://library.yeongam.go.kr/,34.7979979011,126.6936464082,2021-05-11,4940000,전라남도 영암군
삼호도서관,전라남도,영암군,공공도서관,국경일,08:00,22:00,08:00,22:00,08:00,22:00,494,111600,15,16910,5,14,전라남도 영암군 삼호읍 삼호중앙로 140,영암군청,061-470-6832,4221,2430,http://library.yeongam.go.kr/,34.744802,126.4665346,2021-05-11,4940000,전라남도 영암군
울산항만공사 열린 도서관,울산광역시,남구,전문도서관,공휴일,09:00,18:00,00:00,00:00,00:00,00:00,27,11653,785,625,5,15,울산광역시 남구 장생포고래로 271,울산항만공사,052-228-5382,28939,86818,https://upa.egentouch.com,35.5047345079,129.3828405494,2021-05-12,B551938,울산항만공사
문화정보도서관,광주광역시,남구,공공도서관,"공휴일, 매월 둘째, 넷째 월요일",09:00,18:00,09:00,17:00,00:00,00:00,350,95174,26,3070,5,15,광주광역시 남구 봉선로 208,광주광역시 남구청,062-607-2521,3723,1333.22,http://lib.namgu.gwangju.kr/,35.12206372,126.9174046,2021-05-11,3610000,광주광역시 남구
푸른길도서관,광주광역시,남구,공공도서관,"공휴일, 매주 월요일",09:00,18:00,09:00,17:00,00:00,00:00,150,54446,22,5334,5,15,광주광역시 남구 금당로 140,광주광역시 남구청,062-607-2531,1701,1462,http://lib.namgu.gwangju.kr/,35.12920853,126.8952049,2021-05-11,3610000,광주광역시 남구
청소년도서관,광주광역시,남구,공공도서관,"공휴일, 매월 첫째, 셋째 월요일",09:00,18:00,09:00,17:00,00:00,00:00,158,41833,21,43,5,15,광주광역시 남구 제석로 100,광주광역시 남구청,062-607-2541,3715,2099,http://lib.namgu.gwangju.kr/,35.12337076,126.9077424,2021-05-11,3610000,광주광역시 남구
노들행복작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,17:00,00:00,00:00,00:00,00:00,17,3358,3,0,3,14,광주광역시 남구 봉선로51번길 21,광주광역시 남구청,062-607-4598,,37.8,,35.12934674,126.9067165,2021-05-11,3610000,광주광역시 남구
대촌동생태작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,17:00,00:00,00:00,00:00,00:00,20,3071,2,0,3,14,광주광역시 남구 포충로 591,광주광역시 남구청,062-607-4897,,53,,35.08151755,126.8336785,2021-05-11,3610000,광주광역시 남구
물빛공원작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,17:00,00:00,00:00,00:00,00:00,10,3999,1,0,3,14,광주광역시 남구 효우로93번길 2,광주광역시 남구청,070-4406-1813,,33,,35.10513241,126.9045799,2021-05-11,3610000,광주광역시 남구
월산5동작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,17:00,00:00,00:00,00:00,00:00,10,4839,2,0,3,14,광주광역시 남구 군분로82번길 14,광주광역시 남구청,062-607-4723,,34,,35.14090962,126.8929894,2021-05-11,3610000,광주광역시 남구
푸른길작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,17:00,00:00,00:00,00:00,00:00,13,4535,2,0,3,14,광주광역시 남구 대남대로223번길 5,광주광역시 남구청,070-4214-1813,,33,,,,2021-05-11,3610000,광주광역시 남구
효덕동작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,17:00,00:00,00:00,00:00,00:00,10,5818,1,0,3,14,광주광역시 남구 화산로 15,광주광역시 남구청,062-607-4847,,55,,35.11227283,126.8984361,2021-05-11,3610000,광주광역시 남구
방림1동꽃마을작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,17:00,00:00,00:00,00:00,00:00,15,2274,1,0,3,14,광주광역시 남구 오방로 101-2,광주광역시 남구청,062-653-2514,,41.6,,35.13435106,126.9182638,2021-05-11,3610000,광주광역시 남구
양지작은도서관,광주광역시,남구,작은도서관,공휴일,09:00,18:00,09:00,17:00,09:00,17:00,36,7068,0,0,3,14,광주광역시 남구 제중로 24-10,양지종합사회복지관,062-673-1919,,140,,35.13656307,126.9154603,2021-05-11,3610000,광주광역시 남구
방림2동작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,18:00,00:00,00:00,00:00,00:00,18,8542,0,0,3,14,광주광역시 남구 큰방림길 36,대한예수장로회 방림교회,062-673-0776,,179,,35.13193396,126.9227823,2021-05-11,3610000,광주광역시 남구
진월작은도서관,광주광역시,남구,작은도서관,공휴일,10:00,18:00,10:00,17:00,00:00,00:00,13,8389,0,0,3,7,광주광역시 남구 서문대로 693,광주대학교산학협력단,062-673-9788,,124,,35.12120609,126.8984467,2021-05-11,3610000,광주광역시 남구
